data,vendas,dia_semana
2025-06-01,222.95,Domingo
2025-06-02,45.0,Segunda
2025-06-03,93.8,Terça
2025-06-04,130.9,Quarta
2025-06-05,335.22,Quinta
2025-06-06,60.2,Sexta
2025-06-07,431.5,Sábado
2025-06-08,436.31,Domingo
2025-06-09,664.28,Segunda
2025-06-10,491.85,Terça
2025-06-11,102.3,Quarta
2025-06-13,65.51,Sexta
2025-06-14,95.5,Sábado
2025-06-15,361.8,Domingo
2025-06-16,57.0,Segunda
2025-06-17,82.5,Terça
2025-06-18,57.0,Quarta
2025-06-19,132.21,Quinta
2025-06-20,111.5,Sexta
2025-06-21,387.71,Sábado
2025-06-22,325.556,Domingo
2025-06-23,98.35,Segunda
2025-06-24,392.55,Terça
2025-06-25,68.0,Quarta
2025-06-26,74.95,Quinta
2025-06-27,42.05,Sexta
2025-06-28,174.28,Sábado
2025-06-29,452.86,Domingo
2025-06-30,16.0,Segunda
2025-07-02,359.31,Quarta
2025-07-03,62.8,Quinta
2025-07-04,258.47,Sexta
2025-07-05,257.92,Sábado
2025-07-06,410.65,Domingo
2025-07-07,22.0,Segunda
2025-07-08,181.92,Terça
2025-07-09,53.0,Quarta
2025-07-10,152.12,Quinta
2025-07-11,154.32,Sexta
2025-07-12,208.45,Sábado
2025-07-13,550.58,Domingo
2025-07-14,29.0,Segunda
2025-07-15,137.54,Terça
2025-07-16,68.85,Quarta
2025-07-17,108.75,Quinta
2025-07-18,139.5,Sexta
2025-07-19,441.03,Sábado
2025-07-20,676.7,Domingo
2025-07-21,42.75,Segunda
2025-07-22,145.45,Terça
2025-07-23,607.54,Quarta
2025-07-24,88.0,Quinta
2025-07-25,72.55,Sexta
2025-07-26,130.1,Sábado
2025-07-27,742.2,Domingo
2025-07-28,126.76,Segunda
2025-07-29,158.93,Terça
2025-07-30,339.69,Quarta
2025-07-31,50.31,Quinta
2025-08-02,270.94,Sábado
2025-08-03,420.11,Domingo
2025-08-04,74.65,Segunda
2025-08-05,76.6,Terça
2025-08-06,89.08,Quarta
2025-08-07,123.77,Quinta
2025-08-08,168.18,Sexta
2025-08-09,1030.81,Sábado
2025-08-10,664.9,Domingo
2025-08-11,29.8,Segunda
2025-08-12,98.9,Terça
2025-08-13,54.0,Quarta
2025-08-14,57.0,Quinta
2025-08-15,54.0,Sexta
2025-08-16,479.59,Sábado
2025-08-17,283.59,Domingo
2025-08-18,2.0,Segunda
2025-08-19,151.66,Terça
2025-08-20,361.28,Quarta
2025-08-21,76.36,Quinta
2025-08-22,187.78,Sexta
2025-08-23,368.47,Sábado
2025-08-24,705.54,Domingo
2025-08-25,83.7,Segunda
2025-08-26,94.7,Terça
2025-08-27,40.85,Quarta
2025-08-28,99.85,Quinta
2025-08-29,173.05,Sexta
2025-08-30,515.81,Sábado
2025-08-31,930.34,Domingo
2025-09-01,63.25,Segunda
2025-09-02,190.13,Terça
2025-09-03,111.5,Quarta
2025-09-04,76.4,Quinta
2025-09-05,182.42,Sexta
2025-09-06,306.47,Sábado
2025-09-07,601.95,Domingo
2025-09-08,131.95,Segunda
2025-09-09,207.6,Terça
2025-09-10,118.41,Quarta
2025-09-11,117.2,Quinta
2025-09-12,139.42,Sexta
2025-09-13,369.2,Sábado
2025-09-14,786.95,Domingo
2025-09-15,14.0,Segunda
2025-09-16,51.65,Terça
2025-09-17,121.7,Quarta
2025-09-18,139.87,Quinta
2025-09-19,97.0,Sexta
2025-09-20,472.59,Sábado
2025-09-21,803.0,Domingo
2025-09-22,104.46,Segunda
2025-09-23,80.0,Terça
2025-09-24,94.1,Quarta
2025-09-25,118.55,Quinta
2025-09-26,100.3,Sexta
2025-09-27,211.75,Sábado
2025-09-28,522.48,Domingo
2025-09-29,159.9,Segunda
2025-09-30,188.43,Terça
2025-10-01,90.0,Quarta
2025-10-02,181.55,Quinta
2025-10-03,321.88,Sexta
2025-10-04,411.09,Sábado
2025-10-05,568.25,Domingo
2025-10-06,107.7,Segunda
2025-10-07,209.43,Terça
2025-10-08,215.8,Quarta
2025-10-09,420.75,Quinta
2025-10-10,222.6,Sexta
2025-10-11,437.91,Sábado
2025-10-12,747.25,Domingo
2025-10-13,140.45,Segunda
2025-10-14,76.0,Terça
